N° Siren,Nom de la compagnie,Secteur,Région,Période depuis la création (année),Nombre d'établissements,Nbre d'employés min,Nbre d'employés Max,Titre du poste,Emplacement du travail,Type de travail,Niveau requis,Nombre d'offres
440410637,Groupe SEB,Activité du commerce de gros (commerce interentreprises) d'autres biens domestiques,ECULLY ,19,15,250,499,Data Analyst ,"Écully, Auvergne-Rhône-Alpes",CDD,Confirmé,1
440410637,Groupe SEB,Activité du commerce de gros (commerce interentreprises) d'autres biens domestiques,ECULLY ,19,15,250,499,Data Scientist ,"Écully, Auvergne-Rhône-Alpes",CDI ,Premier emploi,2
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Nantes, Pays de la Loire",CDI ,Manager,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Nantes, Pays de la Loire",Stage,Premier emploi,2
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Marseille, Provence-Alpes-Côte d’Azur",CDI ,Manager,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Marseille, Provence-Alpes-Côte d’Azur",Stage,Premier emploi,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Marseille, Provence-Alpes-Côte d’Azur",CDI ,Premier emploi,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Paris, Île-de-France",CDI ,Premier emploi,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Paris, Île-de-France",Stage,Premier emploi,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Scientist ,"Paris, Île-de-France",CDI ,Manager,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Engineer ,"Paris, Île-de-France",CDI ,Premier emploi,1
423507730,Sia Partners,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,22,10,500,999,Data Engineer ,"Paris, Île-de-France",Stage,Premier emploi,1
322306440,Dassault Systèmes,Activité de l'edition de logiciels applicatifs,VELIZY-VILLACOUBLAY,39,42,2000,4999,Data Engineer ,"Meylan, Auvergne-Rhône-Alpes",CDI ,Premier emploi,1
322306440,Dassault Systèmes,Activité de l'edition de logiciels applicatifs,VELIZY-VILLACOUBLAY,39,42,2000,4999,Data Analyst ,"Vélizy-Villacoublay, Île-de-France",Stage,Premier emploi,2
322306440,Dassault Systèmes,Activité de l'edition de logiciels applicatifs,VELIZY-VILLACOUBLAY,39,42,2000,4999,Data Analyst ,"Vélizy-Villacoublay, Île-de-France",CDI ,Premier emploi,3
322306440,Dassault Systèmes,Activité de l'edition de logiciels applicatifs,VELIZY-VILLACOUBLAY,39,42,2000,4999,Data Scientist ,"Paris, Île-de-France",CDI ,Premier emploi,1
322306440,Dassault Systèmes,Activité de l'edition de logiciels applicatifs,VELIZY-VILLACOUBLAY,39,42,2000,4999,Data Scientist ,"Vélizy-Villacoublay, Île-de-France",Stage,Premier emploi,4
322306440,Dassault Systèmes,Activité de l'edition de logiciels applicatifs,VELIZY-VILLACOUBLAY,39,42,2000,4999,Data Scientist ,"Vélizy-Villacoublay, Île-de-France",CDI ,Premier emploi,2
408024719,Atos,Activité du conseil en systèmes et logiciels informatiques,BEZONS ,25,74,2000,4999,Data Engineer ,"Bezons, Île-de-France",CDI ,Confirmé,2
408024719,Atos,Activité du conseil en systèmes et logiciels informatiques,BEZONS ,25,74,2000,4999,Data Engineer ,"Lyon, Auvergne-Rhône-Alpes",Stage,Premier emploi,1
408024719,Atos,Activité du conseil en systèmes et logiciels informatiques,BEZONS ,25,74,2000,4999,Data Analyst ,"Bezons, Île-de-France",CDI ,Premier emploi,1
408024719,Atos,Activité du conseil en systèmes et logiciels informatiques,BEZONS ,25,74,2000,4999,Data Analyst ,Grenoble et périphérie,Stage,Premier emploi,1
408024719,Atos,Activité du conseil en systèmes et logiciels informatiques,BEZONS ,25,74,2000,4999,Data Analyst ,Grenoble et périphérie,Stage,Premier emploi,2
408024719,Atos,Activité du conseil en systèmes et logiciels informatiques,BEZONS ,25,74,2000,4999,Data Scientist ,Grenoble et périphérie,Stage,Premier emploi,2
408024719,Atos,Activité du conseil en systèmes et logiciels informatiques,BEZONS ,25,74,2000,4999,Data Scientist ,Bordeaux et périphérie,Stage,Premier emploi,2
353150261,Modis,Activité du conseil en systèmes et logiciels informatiques,VILLEURBANNE ,31,48,2000,4999,Data Scientist ,"Harnes, Hauts-de-France",CDI ,Confirmé,1
353150261,Modis,Activité du conseil en systèmes et logiciels informatiques,VILLEURBANNE ,31,48,2000,4999,Data Scientist ,"Lyon, Auvergne-Rhône-Alpes",CDI ,Confirmé,1
798158135,Inside Group,Activité du conseil en systèmes et logiciels informatiques,TOULOUSE ,8,2,6,9,Data Analyst ,Toulouse et périphérie,CDI ,Confirmé,1
450831557,CHANEL,Activité de la fabrication d'articles de joaillerie et bijouterie,PARIS,18,1,50,99,Data Analyst ,"Paris, Île-de-France",Stage,Premier emploi,1
450831557,CHANEL,Activité de la fabrication d'articles de joaillerie et bijouterie,PARIS,18,1,50,99,Data Scientist ,"Pantin, Île-de-France",Stage,Premier emploi,1
384518114,Business & Decision,Activité du conseil en systèmes et logiciels informatiques,COURBEVOIE,29,12,2000,4999,Data Engineer ,"Lille, Hauts-de-France",CDI ,Confirmé,1
384518114,Business & Decision,Activité du conseil en systèmes et logiciels informatiques,COURBEVOIE,29,12,2000,4999,Data Engineer ,"Paris, Île-de-France",CDI ,Premier emploi,1
384518114,Business & Decision,Activité du conseil en systèmes et logiciels informatiques,COURBEVOIE,29,12,2000,4999,Data Engineer ,"Montpellier, Occitanie",CDI ,Confirmé,1
384518114,Business & Decision,Activité du conseil en systèmes et logiciels informatiques,COURBEVOIE,29,12,2000,4999,Data Engineer ,"Lyon, Auvergne-Rhône-Alpes",CDI ,Confirmé,1
817888654,Beelix,Activité du conseil pour les affaires et autres conseils de gestion,SEVRES ,5,2,20,49,Data Engineer ,"Paris, Île-de-France",CDI ,Confirmé,1
890811193,Licorne Society,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,1,1,,,Data Analyst ,"Paris, Île-de-France",Stage,Premier emploi,1
890811193,Licorne Society,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,1,1,,,Data Analyst ,"Paris, Île-de-France",CDI ,Confirmé,1
890811193,Licorne Society,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,1,1,,,Data Scientist ,"Paris, Île-de-France",CDI ,Confirmé,1
890811193,Licorne Society,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,1,1,,,Data Scientist ,"Paris, Île-de-France",Stage,Premier emploi,1
421100645,La Banque Postale,Activité des autres intermédiations monétaires,PARIS,22,112,2000,4999,Data Engineer ,"Paris, Île-de-France",CDI ,Confirmé,1
421100645,La Banque Postale,Activité des autres intermédiations monétaires,PARIS,22,112,2000,4999,Data Scientist ,"Paris, Île-de-France",CDI ,Manager,1
421100645,La Banque Postale,Activité des autres intermédiations monétaires,PARIS,22,112,2000,4999,Data Scientist ,"Paris, Île-de-France",Stage,Premier emploi,1
421100645,La Banque Postale,Activité des autres intermédiations monétaires,PARIS,22,112,2000,4999,Data Analyst ,"Paris, Île-de-France",CDI ,Confirmé,1
421100645,La Banque Postale,Activité des autres intermédiations monétaires,PARIS,22,112,2000,4999,Data Analyst ,À distance,CDD,Premier emploi,1
334356672,AXA en France,Activité des fonds de placement et entités financières similaires,NANTERRE ,35,24,,,Data Scientist ,"Nanterre, Île-de-France",CDI ,Confirmé,1
334356672,AXA en France,Activité des fonds de placement et entités financières similaires,NANTERRE ,35,24,,,Data Scientist ,"Suresnes, Île-de-France",Stage,Premier emploi,4
334356672,AXA en France,Activité des fonds de placement et entités financières similaires,NANTERRE ,35,24,,,Data Analyst ,"Nanterre, Île-de-France",Stage,Premier emploi,1
334356672,AXA en France,Activité des fonds de placement et entités financières similaires,NANTERRE ,35,24,,,Data Analyst ,"Angers, Pays de la Loire",Stage,Premier emploi,1
335146312,ABB,Activité de la réparation de machines et équipements mécaniques,CERGY ,35,54,1000,1999,Data Analyst ,"Beynost, Auvergne-Rhône-Alpes",Stage,Premier emploi,1
480607894,Xelya,Activité de la tierce maintenance de systèmes et d'applications informatiques,SAINT-CLOUD ,16,3,100,199,Data Analyst ,À distance,CDI ,Premier emploi,1
434584520,BI consulting,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,20,5,100,199,Data Engineer ,"Paris, Île-de-France",CDI ,Confirmé,1
530998046,Vivertis,Activités des agences de placement de main-d'oeuvre,LYON ,10,3,1,2,Data Analyst ,"Lyon, Auvergne-Rhône-Alpes",CDI ,Premier emploi,1
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Engineer ,"Levallois-Perret, Île-de-France",CDI ,Manager,2
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Engineer ,"Levallois-Perret, Île-de-France",Stage,Premier emploi,2
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Engineer ,"Lille, Hauts-de-France",CDI ,Président/DG,2
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Engineer ,"Lyon, Auvergne-Rhône-Alpes",CDI ,Premier emploi,1
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Engineer ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,2
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Engineer ,"Lille, Hauts-de-France",CDI ,Premier emploi,1
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Engineer ,"Toulouse, Occitanie",CDI ,Président/DG,1
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Analyst ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,1
822846366,Devoteam,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,5,3,50,99,Data Scientist ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,1
552144503,Stellantis,Activité du commerce de voitures et de véhicules automobiles légers,POISSY ,66,85,100,199,Data Scientist ,"Vélizy-Villacoublay, Île-de-France",CDI ,Manager,1
552144503,Stellantis,Activité du commerce de voitures et de véhicules automobiles légers,POISSY ,66,85,100,199,Data Scientist ,"Vélizy-Villacoublay, Île-de-France",Stage,Premier emploi,2
552144503,Stellantis,Activité du commerce de voitures et de véhicules automobiles légers,POISSY ,66,85,100,199,Data Scientist ,"Vélizy-Villacoublay, Île-de-France",CDI ,Premier emploi,1
552144503,Stellantis,Activité du commerce de voitures et de véhicules automobiles légers,POISSY ,66,85,100,199,Data Analyst ,"Poissy, Île-de-France",CDI ,Confirmé,1
552144503,Stellantis,Activité du commerce de voitures et de véhicules automobiles légers,POISSY ,66,85,100,199,Data Analyst ,"Poissy, Île-de-France",Stage,Premier emploi,4
552144503,Stellantis,Activité du commerce de voitures et de véhicules automobiles légers,POISSY ,66,85,100,199,Data Analyst ,"Poissy, Île-de-France",CDI ,Premier emploi,2
502303803,PUR Projet,Activité des autres activités de soutien aux entreprises n.c.a,PARIS,13,3,20,49,Data Engineer ,"Paris, Île-de-France",CDI ,Confirmé,1
841204720,AKUR8,Activité de la programmation informatique,PARIS,3,3,10,19,Data Scientist ,"Paris, Île-de-France",CDI ,Confirmé,2
841204720,AKUR8,Activité de la programmation informatique,PARIS,3,3,10,19,Data Scientist ,"Paris, Île-de-France",CDI ,Premier emploi,2
841204720,AKUR8,Activité de la programmation informatique,PARIS,3,3,10,19,Data Scientist ,"Paris, Île-de-France",Stage,Premier emploi,2
391504693,Aubay,Activité du conseil en systèmes et logiciels informatiques,BOULOGNE-BILLANCOURT ,28,9,2000,4999,Data Scientist ,"Paris, Île-de-France",CDI ,Premier emploi,1
391504693,Aubay,Activité du conseil en systèmes et logiciels informatiques,BOULOGNE-BILLANCOURT ,28,9,2000,4999,Data Engineer ,"Paris, Île-de-France",CDI ,Premier emploi,1
508271715,JobTeaser,Activité du conseil pour les affaires et autres conseils de gestion,PARIS,13,6,100,199,Data Analyst ,"Paris, Île-de-France",CDI ,Confirmé,1
662042449,BNP Paribas,Activité des autres intermédiations monétaires,PARIS,60,3728,10000,,Data Scientist ,"Paris, Île-de-France",CDI ,Premier emploi,3
662042449,BNP Paribas,Activité des autres intermédiations monétaires,PARIS,60,3728,10000,,Data Analyst ,"Paris, Île-de-France",CDI ,Confirmé,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Engineer ,"Paris, Île-de-France",CDI ,Confirmé,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Engineer ,"Nantes, Pays de la Loire",CDI ,Premier emploi,2
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Engineer ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,4
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Engineer ,"Marcq-en-Baroeul, Hauts-de-France",CDI ,Premier emploi,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Analyst ,"Aix-en-Provence, Provence-Alpes-Côte d’Azur",CDI ,Premier emploi,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Analyst ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,4
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Scientist ,"Levallois-Perret, Île-de-France",CDI ,Confirmé,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Scientist ,"Marcq-en-Baroeul, Hauts-de-France",CDI ,Premier emploi,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Scientist ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,1
815357769,ACTIVUS Group,Activité du conseil en systèmes et logiciels informatiques,TOULOUSE ,5,8,50,99,Data Analyst ,"Niort, Nouvelle-Aquitaine",CDI ,Premier emploi,2
815357769,ACTIVUS Group,Activité du conseil en systèmes et logiciels informatiques,TOULOUSE ,5,8,50,99,Data Analyst ,"Toulouse, Occitanie",CDI ,Confirmé,2
815357769,ACTIVUS Group,Activité du conseil en systèmes et logiciels informatiques,TOULOUSE ,5,8,50,99,Data Scientist ,"Toulouse, Occitanie",CDI ,Premier emploi,1
562024422,CMA CGM,Activité des transports maritimes et côtiers de fret,MARSEILLE,85,33,2000,4999,Data Analyst ,"Marseille, Provence-Alpes-Côte d’Azur",Stage,Premier emploi,2
562024422,CMA CGM,Activité des transports maritimes et côtiers de fret,MARSEILLE,85,33,2000,4999,Data Scientist ,"Marseille, Provence-Alpes-Côte d’Azur",CDI ,Manager,1
562024422,CMA CGM,Activité des transports maritimes et côtiers de fret,MARSEILLE,85,33,2000,4999,Data Engineer ,"Marseille, Provence-Alpes-Côte d’Azur",CDI ,Manager,1
750538613,CodinGame,Activité de la programmation informatique,MONTPELLIER,9,2,20,49,Data Analyst ,À distance,CDI ,Premier emploi,1
410002075,VINCI Airports,Activités des sièges sociaux,NANTERRE,25,6,100,199,Data Analyst ,"Colombier, Auvergne-Rhône-Alpes",Stage,Premier emploi,1
750538613,CodinGame,Activité de la programmation informatique,MONTPELLIER,9,2,20,49,Data Analyst ,À distance,CDI ,Confirmé,2
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Engineer ,"Paris, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Paris, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Puteaux, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Courbevoie, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Puteaux, Île-de-France",CDD,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Lacq, Nouvelle-Aquitaine",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Pau, Nouvelle-Aquitaine",CDI ,Confirmé,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Le Conquet, Bretagne",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Pau, Nouvelle-Aquitaine",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Paris, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Courbevoie, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Pau, Nouvelle-Aquitaine",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Courbevoie, Île-de-France",CDD,Premier emploi,2